DateTime,PlayersCount
3/9/2006 22:00,2343
3/9/2006 23:00,2216
3/12/2006 0:00,2957
3/12/2006 1:00,1811
3/12/2006 2:00,1462
3/12/2006 3:00,985
3/12/2006 4:00,595
3/12/2006 5:00,386
3/12/2006 6:00,361
3/12/2006 7:00,446
3/12/2006 8:00,636
3/12/2006 9:00,1033
3/12/2006 10:00,1491
3/12/2006 11:00,1757
3/12/2006 12:00,1841
3/12/2006 13:00,2083
3/12/2006 14:00,2254
3/12/2006 15:00,2446
3/12/2006 16:00,2467
3/12/2006 17:00,2332
3/12/2006 18:00,1872
3/12/2006 19:00,2703
3/12/2006 20:00,3158
3/12/2006 21:00,3353
3/12/2006 22:00,3548
3/12/2006 23:00,2275
3/19/2006 0:00,5706
3/19/2006 1:00,5030
3/19/2006 2:00,3940
3/19/2006 3:00,2622
3/19/2006 4:00,1922
3/19/2006 5:00,1330
3/19/2006 6:00,1016
3/19/2006 7:00,990
3/19/2006 8:00,1242
3/19/2006 9:00,2040
3/19/2006 10:00,2686
3/19/2006 11:00,3202
3/19/2006 12:00,3566
3/19/2006 13:00,3374
3/19/2006 14:00,4638
3/19/2006 15:00,4866
3/19/2006 16:00,4870
3/19/2006 17:00,4736
3/19/2006 18:00,4188
3/19/2006 19:00,4324
3/19/2006 20:00,5202
3/19/2006 21:00,5670
3/19/2006 22:00,5966
3/19/2006 23:00,5616
3/26/2006 0:00,6022
3/26/2006 1:00,5086
3/26/2006 2:00,3822
3/26/2006 3:00,3030
3/26/2006 4:00,1780
3/26/2006 5:00,1676
3/26/2006 6:00,1034
3/26/2006 7:00,1146
3/26/2006 8:00,1516
3/26/2006 9:00,2012
3/26/2006 10:00,2726
3/26/2006 11:00,3434
3/26/2006 12:00,3856
3/26/2006 13:00,4538
3/26/2006 14:00,5124
3/26/2006 15:00,5252
3/26/2006 16:00,5336
3/26/2006 17:00,5126
3/26/2006 18:00,4644
3/26/2006 19:00,4674
3/26/2006 20:00,5180
3/26/2006 21:00,5746
3/26/2006 22:00,6160
3/26/2006 23:00,6242
4/6/2006 0:00,2540
4/6/2006 1:00,2125
4/6/2006 2:00,1617
4/6/2006 3:00,993
4/6/2006 4:00,684
4/6/2006 5:00,508
4/6/2006 6:00,405
4/6/2006 7:00,383
4/6/2006 8:00,544
4/6/2006 9:00,908
4/6/2006 10:00,1280
4/6/2006 11:00,1525
4/6/2006 12:00,1657
4/6/2006 13:00,1975
4/6/2006 14:00,2118
4/6/2006 15:00,1836
4/6/2006 16:00,2145
